fans	verifyName	actorId	preferredName	actorDesc
5	吕伊涵	2341915441	吕伊涵-Emily	北京中视影视公司签约演员、歌手, 
5	徐麒	1890309423	徐麒Eagle	浙江歌舞剧院青年演员, 
5	管心彤	1761042020	管心彤-Clara	服装模特、演员，曾做欧莱雅彩妆模特，出演电影《春田》等, 
5	周鑫洋	1566987175	周鑫洋	大连海力网剧组演员 , 
5	释通乐	2682285595	释通乐	演员通乐, 
5	段雨欣	1746363095	段雨欣Sandy	模特 影视演员 08年奥运微笑天使 中国国际航空公司乘务员, 
5	孙佳懿	2203933965	孙佳懿Vicky	安徽龙拓影视文化传播有限公司 演员, 
5	张冠辉	2416357845	张冠辉MJ	张冠辉MJ模仿者搞笑口技演员, 
5	全泰秀	2714457193	全泰秀84	韩国演员全泰秀，代表作《成均馆绯闻》《王和我》等, 
5	乔圣子	1961247270	演员乔圣子	演员乔圣子, 
5	韩在硕	3689090200	韩在硕	韩国演员 代表作《乌拉拉夫妇》《急速天使》等, 
5	王心悦	2526847852	演员王心悦	上海玛旎莱文化传媒有限公司演员 主持, 
5	边宇	1801242341	边宇yu	北京欢瑞世纪演艺经纪有限公司   艺人, 
5	乔小薇	1271806324	乔小薇	演员，歌手乔薇，年度主打歌曲：《七点半公主》, 
5	邓英	1298848131	woshi邓英	演员, 
5	横山美雪	2730369934	横山美雪	日本艺人, 
5	沈惠杰	1725977351	沈惠杰	香港亚洲电视艺人、歌手, 
5	田媛元	1323742445	田媛元	北京创点文化公司演员、主持人田媛元, 
5	林昭宇	1743146384	JUNO林昭宇	新加坡Pharaoh娱乐公司 旗下艺人、歌手, 
5	张潇洋	1831626201	张潇洋maggie	北京木禾天成传媒文化传媒有限公司 签约艺人, 
5	韩钦	1833560884	韩钦HAN	演员，平面模特，优质男生，联通3G大使，珠海广播电视台主持人, 
5	崔可法	2711049845	演员_崔可法	演员，代表作《咱家那些事》《大浴堂》《上海滩生死较量》等, 
5	叶子淳	1827471865	叶子淳	香港艺人, 
5	李雪明	2795616004	演员李雪明	深圳天成聚星影视文化传媒有限公司 演员, 
5	貂静	1888565823	貂静	银狮影视集团 青年影视演员, 
5	刘宇菁	1869045310	刘宇菁Juno	台湾新生代演员，代表作品：王力宏MV《依然爱你》等, 
5	苗伟	2881840572	苗伟同学	内地男歌手，因悦文化艺人，代表作《爱了别放开》等, 
5	汪洋	2717536383	汪_洋-AA制生活	陕西人民艺术剧院 国家一级演员  汪洋, 
5	香澄果穗	2427519302	香澄果穗	日本女星、喜剧演员、杂志模特；人气组合《惠比寿麝香葡萄》成员, 
5	杨皓惟	1759541625	杨皓惟	台湾艺人，曾出演《花样少男少女》中的李承央一角, 
5	曾洁钰	1851758774	YokeJyu曾洁钰	演员、大日子女主角，Astro新秀大赛09季军， 09全球华人新秀歌唱大赛完美鉅声大奖、金麦克风奖, 
5	顾乙亮	2393628000	顾乙亮	演员顾乙亮，代表作：电视剧《上海滩生死较量》, 
5	严千千	1919729537	严千千	演员严千千，《女蛹》的女二号，《沉入湖底》女一号，饰演梁珊妮, 
5	朴澜	1764199597	朴澜	中国国家话剧院演员, 
5	王艺陶	2696278903	王艺陶kitty	北京世纪星汇文化传媒有限公司成都分公司艺人部艺人, 
5	董子武	2611971812	演员董子武	演员， 代表作：《贞观长歌》饰演魏征，《永远的忠诚》饰演孙胜友, 
5	张允赫	1744557417	张允赫-小西	演员、《新版包青天-白龙驹》饰杨豹, 
5	刘芷萌	1271994565	刘芷萌	演员，代表作《无悔英雄》《卜案》等, 
5	陈博	1901766527	演员陈博	包头电视台《一见钟情》综艺节目主持人，演员陈博, 
5	李丹阳	1528945837	李丹阳Rebecca	《昕薇》杂志模特、演员李丹阳, 
5	金初晓	1833513165	金初晓	演员兼平面模特, 
5	吴晓杰	1700212603	吴晓杰xj	演员吴晓杰 电视剧《红娘子》中饰演马副官, 
5	陈妤婕	1991605092	陈妤婕c	艺人陈妤婕, 
5	李锐	1901125321	锐儿actress	演员李锐, 
6	张倩博	1304049730	张倩V博	北京嘉娱帝华文化传媒有限责任公司 签约艺人 , 
6	马珊珊	1974836551	马珊珊Rose	天海潮（北京）传媒广告有限公司签约平面模特、演员、车模, 
6	蓝迪	1301204911	蓝迪-landy	演员艺人，IFA健康美学形象大使何文, 
6	邱彦翔	1747056485	邱_彦翔	演员, 
6	闫婧璇	2672112697	闫婧璇	青年演员 电视剧《美丽的乡村我的家》 电影《四个好朋友》, 
6	汤志伟	2552943394	演员汤志伟	台湾演员汤志伟, 
6	李洋子	1798479141	李洋子yy	平面模特、演员, 
6	凤翔	2057460371	演员凤翔	演员凤翔，作品《瑶山大剿匪》《红色黎明》等, 
6	李景宸	1898998191	李景宸gemini	歌手 演员 孤独症宣传员 李景宸  参演国内影视剧《花季雨季》、《少年乾隆》 、韩国电影《悬井》, 
6	郭威	2023809657	郭威BurNing	演员, 
6	黄千肯	1723968977	黄千肯	香港及马拉西亚模特、艺人,  
6	范美萱	1071752682	angel彦希	平面模特，演员范美萱, 
6	刘栋升	2639747941	东方传奇刘栋升	孔雀廊签约艺人 刘栋升, 
6	佟磊	2799635145	冯裤子微博	演员佟磊，《与青春有关的日子》饰演冯裤子, 
6	刘蔚森	1283511372	刘蔚森	影视话剧演员刘蔚森, 
6	葛龙	2025435992	-葛龙-	演员葛龙，大型音乐剧《天龙八部》第一反角饰演者, 
6	铃凯	2896162377	Lingkai铃凯	新加坡歌手、伟思娱乐艺人, 
6	樊韵儿	1969015414	樊韵儿	模特、艺人，昕薇全国平面模特大赛北京赛区十佳, 
6	王梓清	1553472442	Rayna王梓清-木木夕丸	2008世界cosplay银奖 中国区日本区wcs代表决定赛评审 演员, 
6	韩智慧	1892653851	韩智慧	韩国人气演员, 
6	颜颖思	2087951935	颜颖思RacHeL	香港模特、演员颜颖思, 
6	蒂凡	1792939213	蒂凡Rex	蒂凡工作室娱乐策划、平面模特、演员；新浪微博社区委员会成员。, 
6	陈笑傲	1884182540	陈笑傲tracy	演员 陈笑傲，美国音乐剧《西区故事》《芝加哥》，法国话剧《罗密欧与朱丽叶》, 
6	宋德东	1942997381	宋德东WLGC	演员《窒息》《嘟嘟与哒哒》《城南往事》等, 
6	程铃	1360929134	程铃围脖	厦门小白鹭民间舞团演员, 
6	张佳琦	1751224772	张佳琦Abby	BADAVISION吧嗒映像影视机构签约演员；《蓝.公馆》《星座物语》演员张佳琦, 
6	郭银钰	1671872592	郭银钰	演员，平面模特，电影作品《北漂鱼》, 
6	熊鹏慧	1457657114	熊小熊儿	演员熊鹏慧，代表作《松柏巷里万家人》《穷孩子富孩子》, 
6	高羽	2417240817	高羽-Tom緢	演员，导演助理，代表作话剧《我偷偷的偷》, 
6	林家慧	2033516053	台湾林咚咚NIKKI	艺人林家慧, 
6	李庭瑞	1548796765	李庭瑞625	儿童励志电影《心轨》演员导演, 
6	金甫美	2725504823	金甫美	韩国女演员，曾出演韩片《Sunny》、韩剧《风之画员》等, 
6	铁柱	1863211884	TigeHui铁柱	香港吉他手，作曲人，编曲人，合作艺人林峰 , 
6	王谌	1635171767	王谌	北京嘉娱帝华文化传媒有限责任公司 签约艺人, 
6	钟蕙芝	2599070344	LavinaChung钟蕙芝	香港模特、艺人、演员，合作媒体《瑞丽》等, 
6	袁媛	1718298122	袁媛啊	吉林卫视导演、演员 袁媛 , 
6	Lucas	2130640284
6	时小平	1590333123	演员时小平	演员，代表作电影《纺织姑娘》、电视剧《空巷子》,  
6	苏云胜	2594925390	苏云胜	浙江东阳华红影视文化有限公司 演员, 
6	傅熙悦	1750037397	傅熙悦	傅熙悦，模特兼艺人, 
6	李静	2100772370	李静103	戏剧影视演员李静。参演作品：《血色浪漫》，歌剧《霍夫曼》, 
6	谷歌	2256871573	George谷歌	影视导演，演员，电视剧《私人公园》总导演, 
